Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;Territory of former Serbia and Montenegro;320;e;270;e;590;e
;;;Territory of the former Soviet Union;2180;e;2915;e;5095;e
;;;Territory of former Czechoslovakia;30;e;50;e;80;e
;;;United Kingdom incl. British overseas territories;80;e;40;e;120;e
;01059;Schleswig-Flensburg, Landkreis;Total;8305;e;7525;e;15825;e
;;;videlicet:;;;;;;
;;;Europe;4615;e;4825;e;9440;e
;;;EU-27 (since 2020-02-01);2850;e;2620;e;5470;e
;;;EU-27 third countries (since 2020-02-01);5450;e;4905;e;10355;e
;;;EU-28 (until 2020-01-31);2910;e;2655;e;5565;e
;;;EU-28 third countries (until 2020-01-31);5390;e;4870;e;10260;e
;;;EU-27 (until 2013-06-30);2870;e;2620;e;5495;e
;;;EU-27 third countries (until 2013-06-30);5430;e;4900;e;10335;e
