Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;630;e;325;e;950;e
;;;Territory of former Yugoslavia;200;e;120;e;320;e
;;;Territory of former Serbia and Montenegro;80;e;50;e;130;e
;;;Territory of the former Soviet Union;2750;e;3235;e;5985;e
;;;Territory of former Czechoslovakia;185;e;125;e;315;e
;;;United Kingdom incl. British overseas territories;15;e;5;e;25;e
;15085;Harz, Landkreis;Total;6570;e;5010;e;11585;e
;;;videlicet:;;;;;;
;;;Europe;3690;e;3425;e;7115;e
;;;EU-27 (since 2020-02-01);1625;e;1160;e;2785;e
;;;EU-27 third countries (since 2020-02-01);4945;e;3855;e;8800;e
;;;EU-28 (until 2020-01-31);1645;e;1170;e;2815;e
;;;EU-28 third countries (until 2020-01-31);4930;e;3840;e;8770;e
;;;EU-27 (until 2013-06-30);1600;e;1140;e;2740;e
;;;EU-27 third countries (until 2013-06-30);4975;e;3870;e;8845;e
;;;EU-25 (until 2006-12-31);995;e;695;e;1690;e
;;;EU-25 third countries (until 2006-12-31);5580;e;4315;e;9895;e
;;;EU-15 (until 2004-04-30);435;e;280;e;715;e
;;;EU-15 third countries (until 2004-04-30);6140;e;4730;e;10870;e
;;;EC-12 (until 1994-12-31);385;e;245;e;635;e
;;;EC-12 third countries (until 1994-12-31);6185;e;4765;e;10950;e
;;;EC-10 (until 1985-12-31);315;e;195;e;510;e
;;;EC-10 third countries (until 1985-12-31);6255;e;4820;e;11075;e
;;;EC-9 (until 1980-12-31);205;e;120;e;320;e
;;;EC-9 third countries (until 1980-12-31);6365;e;4895;e;11260;e
;;;EEC-6 (until 1972-12-31);185;e;100;e;285;e
;;;EEC-6 third countries (until 1972-12-31);6385;e;4910;e;11295;e
;;;Africa;515;e;245;e;760;e
;;;North Africa;130;e;60;e;190;e
;;;West Africa;165;e;50;e;215;e
;;;Central Africa;95;e;40;e;140;e
;;;East Africa;110;e;85;e;195;e
;;;Southern Africa;10;e;10;e;20;e
;;;America;100;e;90;e;195;e
;;;North America;35;e;20;e;55;e
;;;Central America and Caribbean;35;e;40;e;75;e
;;;South America;35;e;30;e;65;e
;;;Asia;2225;e;1220;e;3445;e
;;;South West Asia;1150;e;530;e;1680;e
;;;South and South East Asia;580;e;395;e;980;e
;;;East and Central Asia;495;e;290;e;785;e
;;;Australia and Oceania;5;e;5;e;5;e
;;;Countries of origin of foreign workers;1145;e;650;e;1800;e
;;;Territory of former Yugoslavia;280;e;180;e;460;e
;;;Territory of former Serbia and Montenegro;130;e;80;e;210;e
;;;Territory of the former Soviet Union;1435;e;1950;e;3385;e
;;;Territory of former Czechoslovakia;50;e;60;e;110;e
;;;United Kingdom incl. British overseas territories;15;e;15;e;30;e
;15086;Jerichower Land, Landkreis;Total;2900;e;2280;e;5180;e
;;;videlicet:;;;;;;
;;;Europe;1475;e;1480;e;2960;e
;;;EU-27 (since 2020-02-01);775;e;510;e;1285;e
;;;EU-27 third countries (since 2020-02-01);2125;e;1770;e;3895;e
;;;EU-28 (until 2020-01-31);785;e;515;e;1300;e
;;;EU-28 third countries (until 2020-01-31);2115;e;1765;e;3885;e
;;;EU-27 (until 2013-06-30);770;e;510;e;1280;e
;;;EU-27 third countries (until 2013-06-30);2130;e;1770;e;3900;e
;;;EU-25 (until 2006-12-31);545;e;365;e;910;e
;;;EU-25 third countries (until 2006-12-31);2355;e;1915;e;4270;e
;;;EU-15 (until 2004-04-30);130;e;75;e;210;e
;;;EU-15 third countries (until 2004-04-30);2770;e;2205;e;4975;e
;;;EC-12 (until 1994-12-31);115;e;60;e;175;e
;;;EC-12 third countries (until 1994-12-31);2785;e;2225;e;5010;e
;;;EC-10 (until 1985-12-31);95;e;50;e;145;e
;;;EC-10 third countries (until 1985-12-31);2805;e;2235;e;5040;e
;;;EC-9 (until 1980-12-31);70;e;35;e;110;e
;;;EC-9 third countries (until 1980-12-31);2830;e;2245;e;5075;e
;;;EEC-6 (until 1972-12-31);60;e;30;e;90;e
;;;EEC-6 third countries (until 1972-12-31);2840;e;2250;e;5090;e
;;;Africa;285;e;100;e;385;e
;;;North Africa;30;e;10;e;35;e
;;;West Africa;140;e;25;e;165;e
;;;Central Africa;20;e;15;e;35;e
;;;East Africa;95;e;45;e;135;e
;;;Southern Africa;5;e;5;e;15;e
;;;America;35;e;45;e;80;e
;;;North America;15;e;25;e;40;e
;;;Central America and Caribbean;10;e;10;e;20;e
;;;South America;10;e;15;e;25;e
;;;Asia;1055;e;625;e;1680;e
;;;South West Asia;710;e;420;e;1125;e
;;;South and South East Asia;140;e;120;e;260;e
;;;East and Central Asia;205;e;90;e;295;e
;;;Australia and Oceania;-;;5;e;5;e
;;;Countries of origin of foreign workers;275;e;160;e;435;e
;;;Territory of former Yugoslavia;95;e;65;e;155;e
;;;Territory of former Serbia and Montenegro;55;e;40;e;95;e
;;;Territory of the former Soviet Union;535;e;880;e;1410;e
;;;Territory of former Czechoslovakia;15;e;20;e;35;e
;;;United Kingdom incl. British overseas territories;10;e;5;e;10;e
;15087;Mansfeld-Südharz, Landkreis;Total;3545;e;2515;e;6060;e
;;;videlicet:;;;;;;
;;;Europe;1785;e;1500;e;3285;e
;;;EU-27 (since 2020-02-01);855;e;510;e;1365;e
;;;EU-27 third countries (since 2020-02-01);2690;e;2005;e;4695;e
;;;EU-28 (until 2020-01-31);860;e;510;e;1370;e
;;;EU-28 third countries (until 2020-01-31);2685;e;2005;e;4690;e
;;;EU-27 (until 2013-06-30);840;e;500;e;1340;e
;;;EU-27 third countries (until 2013-06-30);2705;e;2015;e;4720;e
;;;EU-25 (until 2006-12-31);535;e;335;e;870;e
;;;EU-25 third countries (until 2006-12-31);3010;e;2180;e;5190;e
;;;EU-15 (until 2004-04-30);210;e;125;e;330;e
;;;EU-15 third countries (until 2004-04-30);3340;e;2390;e;5730;e
;;;EC-12 (until 1994-12-31);190;e;110;e;295;e
;;;EC-12 third countries (until 1994-12-31);3360;e;2405;e;5765;e
;;;EC-10 (until 1985-12-31);180;e;100;e;275;e
;;;EC-10 third countries (until 1985-12-31);3370;e;2415;e;5785;e
;;;EC-9 (until 1980-12-31);105;e;55;e;160;e
;;;EC-9 third countries (until 1980-12-31);3440;e;2460;e;5900;e
;;;EEC-6 (until 1972-12-31);95;e;55;e;150;e
;;;EEC-6 third countries (until 1972-12-31);3450;e;2460;e;5910;e
;;;Africa;250;e;90;e;335;e
;;;North Africa;25;e;10;e;30;e
;;;West Africa;120;e;20;e;140;e
;;;Central Africa;30;e;20;e;55;e
;;;East Africa;65;e;35;e;100;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;35;e;35;e;70;e
;;;North America;15;e;5;e;20;e
;;;Central America and Caribbean;10;e;15;e;25;e
;;;South America;10;e;20;e;25;e
;;;Asia;1450;e;880;e;2330;e
;;;South West Asia;880;e;485;e;1365;e
;;;South and South East Asia;200;e;205;e;405;e
;;;East and Central Asia;370;e;185;e;555;e
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;620;e;390;e;1005;e
;;;Territory of former Yugoslavia;295;e;240;e;535;e
;;;Territory of former Serbia and Montenegro;155;e;135;e;290;e
;;;Territory of the former Soviet Union;560;e;740;e;1305;e
;;;Territory of former Czechoslovakia;25;e;35;e;60;e
;;;United Kingdom incl. British overseas territories;5;e;-;;10;e
;15088;Saalekreis;Total;6900;e;4870;e;11770;e
;;;videlicet:;;;;;;
;;;Europe;3920;e;3015;e;6935;e
;;;EU-27 (since 2020-02-01);2125;e;1040;e;3165;e
;;;EU-27 third countries (since 2020-02-01);4770;e;3835;e;8605;e
;;;EU-28 (until 2020-01-31);2145;e;1040;e;3185;e
;;;EU-28 third countries (until 2020-01-31);4755;e;3830;e;8585;e
;;;EU-27 (until 2013-06-30);2045;e;985;e;3030;e
;;;EU-27 third countries (until 2013-06-30);4850;e;3885;e;8740;e
;;;EU-25 (until 2006-12-31);1450;e;650;e;2100;e
;;;EU-25 third countries (until 2006-12-31);5450;e;4220;e;9670;e
;;;EU-15 (until 2004-04-30);345;e;160;e;505;e
;;;EU-15 third countries (until 2004-04-30);6550;e;4715;e;11265;e
;;;EC-12 (until 1994-12-31);310;e;130;e;435;e
;;;EC-12 third countries (until 1994-12-31);6590;e;4740;e;11330;e
;;;EC-10 (until 1985-12-31);225;e;95;e;325;e
;;;EC-10 third countries (until 1985-12-31);6670;e;4775;e;11445;e
;;;EC-9 (until 1980-12-31);150;e;55;e;205;e
;;;EC-9 third countries (until 1980-12-31);6750;e;4815;e;11565;e
;;;EEC-6 (until 1972-12-31);125;e;50;e;175;e
;;;EEC-6 third countries (until 1972-12-31);6770;e;4820;e;11590;e
;;;Africa;440;e;220;e;660;e
;;;North Africa;50;e;20;e;70;e
;;;West Africa;220;e;85;e;305;e
;;;Central Africa;50;e;30;e;80;e
;;;East Africa;110;e;80;e;190;e
;;;Southern Africa;10;e;5;e;15;e
;;;America;35;e;55;e;95;e
;;;North America;10;e;10;e;25;e
;;;Central America and Caribbean;10;e;20;e;30;e
;;;South America;15;e;25;e;40;e
;;;Asia;2425;e;1535;e;3960;e
;;;South West Asia;1625;e;1070;e;2695;e
;;;South and South East Asia;285;e;200;e;480;e
;;;East and Central Asia;515;e;270;e;780;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;1085;e;640;e;1725;e
;;;Territory of former Yugoslavia;585;e;395;e;980;e
;;;Territory of former Serbia and Montenegro;345;e;265;e;610;e
;;;Territory of the former Soviet Union;1160;e;1585;e;2745;e
;;;Territory of former Czechoslovakia;90;e;65;e;150;e
;;;United Kingdom incl. British overseas territories;20;e;5;e;20;e
;15089;Salzlandkreis;Total;6035;e;5010;e;11045;e
;;;videlicet:;;;;;;
;;;Europe;3195;e;3060;e;6255;e
;;;EU-27 (since 2020-02-01);1380;e;940;e;2325;e
;;;EU-27 third countries (since 2020-02-01);4650;e;4070;e;8720;e
;;;EU-28 (until 2020-01-31);1400;e;950;e;2350;e
;;;EU-28 third countries (until 2020-01-31);4630;e;4060;e;8695;e
;;;EU-27 (until 2013-06-30);1270;e;880;e;2150;e
;;;EU-27 third countries (until 2013-06-30);4765;e;4130;e;8895;e
;;;EU-25 (until 2006-12-31);855;e;590;e;1445;e
;;;EU-25 third countries (until 2006-12-31);5175;e;4420;e;9595;e
;;;EU-15 (until 2004-04-30);310;e;175;e;480;e
;;;EU-15 third countries (until 2004-04-30);5725;e;4835;e;10560;e
;;;EC-12 (until 1994-12-31);285;e;150;e;435;e
;;;EC-12 third countries (until 1994-12-31);5750;e;4860;e;10610;e
;;;EC-10 (until 1985-12-31);225;e;115;e;340;e
;;;EC-10 third countries (until 1985-12-31);5810;e;4895;e;10705;e
;;;EC-9 (until 1980-12-31);145;e;70;e;210;e
;;;EC-9 third countries (until 1980-12-31);5890;e;4940;e;10830;e
;;;EEC-6 (until 1972-12-31);115;e;60;e;175;e
;;;EEC-6 third countries (until 1972-12-31);5915;e;4950;e;10870;e
;;;Africa;365;e;190;e;555;e
;;;North Africa;50;e;35;e;85;e
;;;West Africa;190;e;55;e;245;e
;;;Central Africa;30;e;30;e;60;e
;;;East Africa;85;e;60;e;145;e
;;;Southern Africa;10;e;5;e;15;e
;;;America;75;e;50;e;125;e
;;;North America;15;e;5;e;20;e
;;;Central America and Caribbean;40;e;5;e;45;e
;;;South America;20;e;35;e;55;e
;;;Asia;2360;e;1685;e;4045;e
;;;South West Asia;1485;e;985;e;2465;e
;;;South and South East Asia;370;e;355;e;725;e
;;;East and Central Asia;505;e;350;e;855;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;915;e;565;e;1475;e
;;;Territory of former Yugoslavia;440;e;305;e;740;e
;;;Territory of former Serbia and Montenegro;200;e;155;e;355;e
;;;Territory of the former Soviet Union;1230;e;1815;e;3040;e
;;;Territory of former Czechoslovakia;40;e;45;e;85;e
;;;United Kingdom incl. British overseas territories;20;e;10;e;30;e
;15090;Stendal, Landkreis;Total;3150;e;2785;e;5935;e
;;;videlicet:;;;;;;
;;;Europe;1470;e;1610;e;3080;e
;;;EU-27 (since 2020-02-01);375;e;265;e;640;e
;;;EU-27 third countries (since 2020-02-01);2770;e;2520;e;5290;e
;;;EU-28 (until 2020-01-31);385;e;270;e;655;e
;;;EU-28 third countries (until 2020-01-31);2760;e;2515;e;5280;e
;;;EU-27 (until 2013-06-30);365;e;255;e;620;e
;;;EU-27 third countries (until 2013-06-30);2780;e;2530;e;5315;e
;;;EU-25 (until 2006-12-31);295;e;190;e;485;e
;;;EU-25 third countries (until 2006-12-31);2850;e;2600;e;5450;e
;;;EU-15 (until 2004-04-30);140;e;80;e;220;e
;;;EU-15 third countries (until 2004-04-30);3005;e;2705;e;5715;e
;;;EC-12 (until 1994-12-31);110;e;65;e;175;e
;;;EC-12 third countries (until 1994-12-31);3040;e;2720;e;5760;e
;;;EC-10 (until 1985-12-31);90;e;50;e;140;e
;;;EC-10 third countries (until 1985-12-31);3060;e;2735;e;5795;e
;;;EC-9 (until 1980-12-31);65;e;40;e;105;e
;;;EC-9 third countries (until 1980-12-31);3080;e;2745;e;5825;e
;;;EEC-6 (until 1972-12-31);55;e;30;e;85;e
;;;EEC-6 third countries (until 1972-12-31);3090;e;2755;e;5845;e
;;;Africa;150;e;110;e;260;e
;;;North Africa;45;e;35;e;80;e
;;;West Africa;50;e;20;e;70;e
;;;Central Africa;25;e;20;e;45;e
;;;East Africa;25;e;30;e;55;e
;;;Southern Africa;5;e;-;;5;e
;;;America;30;e;35;e;65;e
;;;North America;10;e;10;e;20;e
;;;Central America and Caribbean;5;e;5;e;10;e
;;;South America;15;e;20;e;35;e
;;;Asia;1450;e;995;e;2445;e
;;;South West Asia;835;e;570;e;1405;e
;;;South and South East Asia;165;e;135;e;300;e
;;;East and Central Asia;450;e;290;e;740;e
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;380;e;255;e;635;e
;;;Territory of former Yugoslavia;180;e;150;e;330;e
;;;Territory of former Serbia and Montenegro;80;e;75;e;160;e
;;;Territory of the former Soviet Union;855;e;1200;e;2055;e
;;;Territory of former Czechoslovakia;15;e;20;e;35;e
;;;United Kingdom incl. British overseas territories;10;e;5;e;15;e
;15091;Wittenberg, Landkreis;Total;4220;e;3195;e;7415;e
;;;videlicet:;;;;;;
;;;Europe;2375;e;2165;e;4535;e
;;;EU-27 (since 2020-02-01);1455;e;965;e;2420;e
;;;EU-27 third countries (since 2020-02-01);2765;e;2230;e;4990;e
;;;EU-28 (until 2020-01-31);1470;e;970;e;2440;e
;;;EU-28 third countries (until 2020-01-31);2750;e;2225;e;4975;e
;;;EU-27 (until 2013-06-30);1430;e;940;e;2370;e
;;;EU-27 third countries (until 2013-06-30);2790;e;2250;e;5045;e
;;;EU-25 (until 2006-12-31);1080;e;670;e;1745;e
;;;EU-25 third countries (until 2006-12-31);3140;e;2525;e;5665;e
;;;EU-15 (until 2004-04-30);200;e;130;e;330;e
;;;EU-15 third countries (until 2004-04-30);4015;e;3065;e;7080;e
;;;EC-12 (until 1994-12-31);185;e;120;e;305;e
;;;EC-12 third countries (until 1994-12-31);4035;e;3075;e;7110;e
;;;EC-10 (until 1985-12-31);145;e;95;e;240;e
;;;EC-10 third countries (until 1985-12-31);4075;e;3100;e;7175;e
;;;EC-9 (until 1980-12-31);75;e;45;e;125;e
;;;EC-9 third countries (until 1980-12-31);4140;e;3145;e;7290;e
;;;EEC-6 (until 1972-12-31);60;e;40;e;100;e
;;;EEC-6 third countries (until 1972-12-31);4160;e;3155;e;7315;e
;;;Africa;345;e;90;e;435;e
;;;North Africa;20;e;10;e;30;e
;;;West Africa;205;e;25;e;230;e
;;;Central Africa;35;e;10;e;45;e
;;;East Africa;80;e;40;e;120;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;50;e;80;e;130;e
;;;North America;20;e;20;e;40;e
;;;Central America and Caribbean;15;e;25;e;40;e
;;;South America;15;e;35;e;50;e
;;;Asia;1395;e;830;e;2225;e
;;;South West Asia;865;e;455;e;1320;e
;;;South and South East Asia;220;e;205;e;425;e
;;;East and Central Asia;310;e;170;e;480;e
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;465;e;295;e;760;e
;;;Territory of former Yugoslavia;180;e;145;e;320;e
;;;Territory of former Serbia and Montenegro;85;e;70;e;155;e
;;;Territory of the former Soviet Union;675;e;1075;e;1750;e
;;;Territory of former Czechoslovakia;105;e;85;e;185;e
;;;United Kingdom incl. British overseas territories;15;e;5;e;15;e
;15101;Dessau, kreisfreie Stadt (until 2007-06-30);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;15151;Anhalt-Zerbst, Landkreis (until 2007-06-30);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;15153;Bernburg, Landkreis (until 2007-06-30);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;15154;Bitterfeld, Landkreis (until 2007-06-30);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;15159;Köthen, Landkreis (until 2007-06-30);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;15171;Wittenberg, Landkreis (until 2007-06-30);Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
